cod_cli_princ,estado,nome_grupo_representante,qtd_lojas_presentes,primeira_chegada,segundos
20061,MA,TOTAL DISTRIBUIDORA(MA),1,2026-04-18 07:19:50.295,178071.374969
87795,CE,DISK SAUDE,1,2026-04-18 07:56:18.422,175883.247969
81217,CE,FARMACIA PADRE CICERO,1,2026-04-18 08:04:26.582,175395.087969
99935,CE,COUTO COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA,1,2026-04-18 08:11:01.049,175000.620969
93179,CE,COMPLEXO PHARMA,1,2026-04-18 08:11:24.639,174977.030969
6785,CE,DROGARIA SANTO ANTONIO,1,2026-04-18 08:12:43.396,174898.273969
133168,CE,AFDC DISTRIBUIDORA LTDA,1,2026-04-18 08:16:19.470,174682.199969
85970,CE,FARMACIA E DROGARIA  RS,1,2026-04-18 08:18:24.283,174557.386969
79384,PE,FARMACIAS LIBERDADE,1,2026-04-18 08:20:13.990,174447.679969
3843,BA,DROG SILVA ROCHA,1,2026-04-18 08:27:16.504,174025.165969
8265,CE,FARMACIA DONATO,1,2026-04-18 08:29:37.681,173883.988969
80257,CE,GUEDES E SILVA PRODUTOS FARM. LTDA,1,2026-04-18 08:32:37.666,173704.003969
91259,CE,FARMACIA SANFARMA,1,2026-04-18 08:34:17.919,173603.750969
92089,CE,DROGARIA PLASFRAN,1,2026-04-18 08:34:34.487,173587.182969
66303,CE,FARMACIA JOSE RODRIGUES LTDA ME,2,2026-04-18 08:34:40.886,173580.783969
1531,BA,DROGARIA ELISAMA,1,2026-04-18 08:35:50.111,173511.558969
7528,BA,DROGARIA SAUDE,1,2026-04-18 08:36:22.249,173479.420969
93752,CE,F NIKELLY PEREIRA DE ALMEIDA,1,2026-04-18 08:36:58.353,173443.316969
93748,CE,FARMACIA BATISTA,1,2026-04-18 08:37:43.918,173397.751969
97467,BA,FARMACIA PRECO BAIXO,1,2026-04-18 08:39:10.708,173310.961969
7171,BA,FARMACIA PAGUE POUCO,1,2026-04-18 08:39:19.595,173302.074969
4182,BA,FARMABRUNA,2,2026-04-18 08:39:32.826,173288.843969
81263,CE,FARM.N.S.DE FATIMA,1,2026-04-18 08:40:56.089,173205.580969
1136,BA,FARMACIA BETEL (REDE MED),2,2026-04-18 08:42:27.850,173113.819969
80565,CE,FORMULA VERDE,1,2026-04-18 08:43:06.919,173074.750969
8253,BA,DROGARIA BEM ESTAR,1,2026-04-18 08:43:15.366,173066.303969
92033,CE,FARMACIA LIMA & CARNEIRO LTDA ME,1,2026-04-18 08:44:54.611,172967.058969
7352,BA,FARMACIA DO TRABALHADOR DE JACOBINA,1,2026-04-18 08:45:39.693,172921.976969
123362,CE,FARMAVIDA,1,2026-04-18 08:46:29.238,172872.431969
121394,CE,FARMACIA MURILO FARMA,1,2026-04-18 08:46:42.119,172859.550969
86849,CE,SUPERFARMA,1,2026-04-18 08:47:15.090,172826.579969
7565,BA,FARMACIA AVENIDA,1,2026-04-18 08:48:08.602,172773.067969
119544,CE,FARMACIA NOGUEIRA,1,2026-04-18 08:49:25.764,172695.905969
88041,CE,FRANCISCO VIEIRA GONCALVES,1,2026-04-18 08:50:11.909,172649.760969
80564,CE,FARMACIA SOLONOPOLE,3,2026-04-18 08:50:27.655,172634.014969
96970,CE,FARMACIA SAO BENTO,1,2026-04-18 08:51:24.766,172576.903969
97412,CE,CUSTO POPULAR,3,2026-04-18 08:53:01.108,172480.561969
131180,CE,FARMACIA FARMA FORTE,1,2026-04-18 08:54:45.653,172376.016969
20039,CE,IDEBERG JACO MAIA MEDICAMENTOS,3,2026-04-18 08:56:57.995,172243.674969
81190,CE,FARMACIA CONVIVA CARIRI,2,2026-04-18 08:57:30.924,172210.745969
81074,CE,DROGARIA SAO FRANCISCO,1,2026-04-18 08:59:48.975,172072.694969
90975,CE,FARMACIA SARA SOUSA VIANA LTDA,1,2026-04-18 09:01:16.267,171985.402969
92495,CE,CENTER PHARMA,1,2026-04-18 09:01:37.276,171964.393969
84005,CE,DROGARIA BUENO,1,2026-04-18 09:02:39.734,171901.935969
85542,CE,FARMACIA CENTRAL,1,2026-04-18 09:02:54.697,171886.972969
122942,CE,DROGAPHARMA,1,2026-04-18 09:03:51.069,171830.600969
118282,CE,ATACADO DO VALE COMERCIO DE ALIMENTOS,1,2026-04-18 09:07:00.519,171641.150969
88968,CE,DROGARIA N.S APARECIDA,2,2026-04-18 09:09:01.092,171520.577969
81169,CE,FARMACIA DROGA SILVA,1,2026-04-18 09:09:33.681,171487.988969
6865,BA,FARMACIA SÃO CAMILO,1,2026-04-18 09:10:26.419,171435.250969
3958,BA,FARMACIA HELIRENE,1,2026-04-18 09:10:34.941,171426.728969
5298,BA,DROGARIA SIAO,1,2026-04-18 09:11:23.687,171377.982969
7971,BA,FARMACIA MENOR PREÇO,1,2026-04-18 09:12:12.918,171328.751969
777,BA,FCIA SANTA TERESINHA,2,2026-04-18 09:12:46.076,171295.593969
846,BA,FCIA RED MED,1,2026-04-18 09:13:15.372,171266.297969
4541,BA,FARMACIA BOM JESUS,1,2026-04-18 09:13:23.751,171257.918969
2165,BA,FCIA TAPEROA,1,2026-04-18 09:14:38.462,171183.207969
119577,BA,FORT POPULAR ITAPETINGA,1,2026-04-18 09:14:56.730,171164.939969
92077,CE,FARMACIA MENORPRECO LTDA ME,1,2026-04-18 09:15:14.677,171146.992969
91424,CE,FARMACIA TAUAENSE,1,2026-04-18 09:15:34.325,171127.344969
95462,CE,VARJOFARMA,3,2026-04-18 09:16:01.697,171099.972969
81377,CE,DROGARIA ALAN,1,2026-04-18 09:16:32.218,171069.451969
11076,BA,FARMACIA ALTO DE COUTOS,1,2026-04-18 09:17:44.541,170997.128969
132873,CE,FARMACIA CAPONGA LTDA,1,2026-04-18 09:17:53.469,170988.200969
101446,PE,FERREIRA FARMA,2,2026-04-18 09:18:23.437,170958.232969
81062,CE,FARM.SAO FRANCISCO,1,2026-04-18 09:18:30.810,170950.859969
100720,PE,FARMASUL,1,2026-04-18 09:19:17.471,170904.198969
91145,CE,FARMACIA AVENIDA,1,2026-04-18 09:19:37.308,170884.361969
92114,CE,FARMACIA SANTO ANTONIO,1,2026-04-18 09:20:39.585,170822.084969
99010,CE,ALYSSA A DA S LIMA FARMACIA ME,1,2026-04-18 09:21:17.195,170784.474969
93666,CE,DROGARIA CHARITOFARMA,1,2026-04-18 09:21:18.362,170783.307969
85693,CE,DROG. N. S. DA ROSA MISTICA,1,2026-04-18 09:21:35.908,170765.761969
92617,MA,FCIA ITINGA,1,2026-04-18 09:22:03.369,170738.300969
123531,PI,DROGARIA DESCONTO,1,2026-04-18 09:22:23.603,170718.066969
54534,PI,FRANCISCO LOPES COELHO EPP,1,2026-04-18 09:23:14.893,170666.776969
123829,CE,R DA SILVA VIEIRA  ME,1,2026-04-18 09:23:40.699,170640.970969
94120,MA,DROGARIA POPULAR HOLANDA,1,2026-04-18 09:23:58.185,170623.484969
118739,MA,DROGACRIS,1,2026-04-18 09:24:01.302,170620.367969
56081,PI,ALO FARMACIA,1,2026-04-18 09:24:55.572,170566.097969
101582,PE,FARMACIA PROFETA,1,2026-04-18 09:25:12.976,170548.693969
94756,MA,FARMACIA SANTOS,1,2026-04-18 09:25:32.878,170528.791969
92798,MA,REDE OFERTA,1,2026-04-18 09:26:22.368,170479.301969
80794,CE,VAREJAO DOS COMPRIMIDOS (FILIAL 1),1,2026-04-18 09:26:38.693,170462.976969
100665,PE,FARMACIA TEND TUDO,1,2026-04-18 09:26:55.845,170445.824969
93004,MA,FARMACIAS OMEGA,1,2026-04-18 09:27:17.700,170423.969969
72230,MA,FARMACIA MATEUS,1,2026-04-18 09:27:19.492,170422.177969
122334,CE,FARMACIA CATARINA,1,2026-04-18 09:28:18.658,170363.011969
94404,MA,R CALDAS SILVA PRODUTOS FARMACEUTICOS EIRELI,1,2026-04-18 09:28:51.306,170330.363969
94072,CE,TICIANY P. RODRIGUES ME,1,2026-04-18 09:28:56.933,170324.736969
54739,PI,DROG FERREIRA,1,2026-04-18 09:29:18.135,170303.534969
86926,CE,FARM FERNANDES,1,2026-04-18 09:30:02.204,170259.465969
92625,MA,FCIA MARINHO,1,2026-04-18 09:30:33.771,170227.898969
