cod_cli_princ,estado,nome_grupo_representante,total_comprado_grupo,qtd_fornecedores,fornecedores_visitados
4672,BA,FARME BRITO DISTRIBUIDORA,1488032.0,6,"BRACELL PAPEIS NORDESTE LTDA, CCM IND E COM DE PROD DESCARTAVEIS S/A, KLEY HERTZ DISTRIBUIDORA LTDA, NEOQUIMICA, PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA, SOFTYS BRASIL LTDA"
20061,CE,TOTAL PLUS,1359821.68,24,"ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA, BIOLAB FARMA GENERICOS LTDA, BIOSINTETICA - ACHE - LABOFARMA PRODUTOS FARMACEUTICOS LTDA, BRACELL PAPEIS NORDESTE LTDA, CCM IND E COM DE PROD DESCARTAVEIS S/A, CELLERA CONSUMO LTDA (ES), DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP, DKT DO BRASIL PROD.DE USO PESS (PRUDENCE), ESSITY DO BRASIL INDUSTRIA E COMERCIO LTDA, FALCON DISTRIBUICAO (ONTEX), FARMAX DISTRIBUIDORA S.A, GEOLAB IND FARMACEUTICA S/A, GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA, LOLLY BABY PRODUTOS INFANTIS L, MEDQUIMICA IND FARMACEUTICA S., NATIVITA INDUSTRIA E COMERCIO LTDA, NATULAB LABORATORIO LTDA, NEOQUIMICA, PHARLAB INDUSTRIA FARMACEUTICA S.A, PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA, SANDOZ DO BRASI  IND. FARMAC LTDA (SP), SANOFI MEDLEY FARMACEUTICA LTDA, SOFTYS BRASIL LTDA, TOTAL VITA - GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA"
63894,PI,FARMÁCIA DA PRAÇA,1171626.87,13,"CELLERA CONSUMO LTDA (ES), DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP, DKT DO BRASIL PROD.DE USO PESS (PRUDENCE), GEOLAB IND FARMACEUTICA S/A, GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA, KLEY HERTZ DISTRIBUIDORA LTDA, MEDQUIMICA IND FARMACEUTICA S., NATIVITA INDUSTRIA E COMERCIO LTDA, NEOQUIMICA, PHARLAB INDUSTRIA FARMACEUTICA S.A, PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA, SANDOZ DO BRASI  IND. FARMAC LTDA (SP), SOFTYS BRASIL LTDA"
102068,PE,IDEIA FARMA,1127200.0,7,"ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA, CCM IND E COM DE PROD DESCARTAVEIS S/A, KLEY HERTZ DISTRIBUIDORA LTDA, MEDQUIMICA IND FARMACEUTICA S., PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA, PRINCIPIA ES COMERCIO DE COSMETICOS LTDA, SOFTYS BRASIL LTDA"
85007,CE,LOJA 9,1067000.0,10,"CCM IND E COM DE PROD DESCARTAVEIS S/A, DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP, ESSITY DO BRASIL INDUSTRIA E COMERCIO LTDA, GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA, HYPERA S.A, LOLLY BABY PRODUTOS INFANTIS L, PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA, SANDOZ DO BRASI  IND. FARMAC LTDA (SP), SC JOHNSON LTDA, SOFTYS BRASIL LTDA"
118828,PI,POP FARMA,1027640.08,12,"ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA, CCM IND E COM DE PROD DESCARTAVEIS S/A, CELLERA CONSUMO LTDA (ES), DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP, DKT DO BRASIL PROD.DE USO PESS (PRUDENCE), GEOLAB IND FARMACEUTICA S/A, MEDQUIMICA IND FARMACEUTICA S., NATIVITA INDUSTRIA E COMERCIO LTDA, NATULAB LABORATORIO LTDA, PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA, SOFTYS BRASIL LTDA, TORRENT DO BRASIL LTDA"
86705,CE,ECONOMIAFARMA,1025475.0,15,"ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA, BRACELL PAPEIS NORDESTE LTDA, CCM IND E COM DE PROD DESCARTAVEIS S/A, DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP, ESSITY DO BRASIL INDUSTRIA E COMERCIO LTDA, FARMAX DISTRIBUIDORA S.A, GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA, KLEY HERTZ DISTRIBUIDORA LTDA, LOLLY BABY PRODUTOS INFANTIS L, MEDQUIMICA IND FARMACEUTICA S., NEOQUIMICA, PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA, SANDOZ DO BRASI  IND. FARMAC LTDA (SP), SC JOHNSON LTDA, SOFTYS BRASIL LTDA"
123399,CE,FARMACIA PORTELA,904954.16,9,"ALYNE - CIGEL DISTRIBUIDORA DE COSMETI, BRACELL PAPEIS NORDESTE LTDA, FALCON DISTRIBUICAO (ONTEX), GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA, LOLLY BABY PRODUTOS INFANTIS L, NEOQUIMICA, SC JOHNSON LTDA, SOFTYS BRASIL LTDA, TOTAL VITA - GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA"
80564,CE,FARMACIA SOLONOPOLE,820349.25,14,"BRACELL PAPEIS NORDESTE LTDA, CCM IND E COM DE PROD DESCARTAVEIS S/A, DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP, FALCON DISTRIBUICAO (ONTEX), GEOLAB IND FARMACEUTICA S/A, GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA, HYPERA S.A, KLEY HERTZ DISTRIBUIDORA LTDA, NEOQUIMICA, PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA, SANDOZ DO BRASI  IND. FARMAC LTDA (SP), SC JOHNSON LTDA, SOFTYS BRASIL LTDA, TOTAL VITA - GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA"
119544,CE,NOGUEIRA BABY,727418.98,21,"ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA, ALYNE - CIGEL DISTRIBUIDORA DE COSMETI, BRACELL PAPEIS NORDESTE LTDA, CCM IND E COM DE PROD DESCARTAVEIS S/A, CELLERA CONSUMO LTDA (ES), DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP, DKT DO BRASIL PROD.DE USO PESS (PRUDENCE), ESSITY DO BRASIL INDUSTRIA E COMERCIO LTDA, FARMAX DISTRIBUIDORA S.A, GEOLAB IND FARMACEUTICA S/A, GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA, HYPERA S.A, KLEY HERTZ DISTRIBUIDORA LTDA, LABORATORIO TEUTO BRASILEIRO S/A, LOLLY BABY PRODUTOS INFANTIS L, MEDQUIMICA IND FARMACEUTICA S., NATIVITA INDUSTRIA E COMERCIO LTDA, NATULAB LABORATORIO LTDA, NEOQUIMICA, PHARLAB INDUSTRIA FARMACEUTICA S.A, SOFTYS BRASIL LTDA"
20039,CE,JAMILLY ALVES COMERCIO DE MEDICAMENTOS,715787.57,8,"ALYNE - CIGEL DISTRIBUIDORA DE COSMETI, BRACELL PAPEIS NORDESTE LTDA, CCM IND E COM DE PROD DESCARTAVEIS S/A, GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA, LOLLY BABY PRODUTOS INFANTIS L, MILI SA, NATIVITA INDUSTRIA E COMERCIO LTDA, SOFTYS BRASIL LTDA"
