fornecedor_id,fornecedor,estado,faturamento_total,grupos_atingidos
789603,SOFTYS BRASIL LTDA,CE,5383913.87,117
30307,CCM IND E COM DE PROD DESCARTAVEIS S/A,CE,3541375.6,100
789603,SOFTYS BRASIL LTDA,PI,2574639.41,16
47252,NEOQUIMICA,CE,2385286.76,144
796144,BRACELL PAPEIS NORDESTE LTDA,CE,1895597.22,67
789603,SOFTYS BRASIL LTDA,PE,1818260.22,23
789603,SOFTYS BRASIL LTDA,BA,1789730.72,29
796144,BRACELL PAPEIS NORDESTE LTDA,BA,1159653.02,11
793120,HYPERA S.A,CE,951415.72,67
30307,CCM IND E COM DE PROD DESCARTAVEIS S/A,BA,943980.24,22
789423,KLEY HERTZ DISTRIBUIDORA LTDA,CE,766007.12,77
794319,PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA,CE,718831.07,54
31267,MEDQUIMICA IND FARMACEUTICA S.,CE,657423.79,90
30307,CCM IND E COM DE PROD DESCARTAVEIS S/A,PE,599268.68,13
30791,LABORATORIO TEUTO BRASILEIRO S/A,CE,572242.51,67
77800,ESSITY DO BRASIL INDUSTRIA E COMERCIO LTDA,CE,537069.34,15
794445,SANOFI MEDLEY FARMACEUTICA LTDA,CE,491902.75,83
795345,DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP,CE,487704.57,49
30105,ALYNE - CIGEL DISTRIBUIDORA DE COSMETI,CE,463398.25,24
789228,SANDOZ DO BRASI  IND. FARMAC LTDA (SP),CE,435132.29,47
793186,ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA,CE,425385.07,107
30791,LABORATORIO TEUTO BRASILEIRO S/A,MA,392053.57,13
33928,GEOLAB IND FARMACEUTICA S/A,CE,368302.57,56
47252,NEOQUIMICA,MA,359943.2,33
47252,NEOQUIMICA,BA,357164.13,11
794223,FALCON DISTRIBUICAO (ONTEX),CE,353041.02,23
793247,NATIVITA INDUSTRIA E COMERCIO LTDA,CE,345231.98,34
795345,DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP,PE,336989.32,3
33057,NATULAB LABORATORIO LTDA,CE,319718.78,93
31267,MEDQUIMICA IND FARMACEUTICA S.,BA,280753.48,19
789423,KLEY HERTZ DISTRIBUIDORA LTDA,MA,258586.32,26
30307,CCM IND E COM DE PROD DESCARTAVEIS S/A,PI,254146.87,11
794319,PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA,PE,254142.33,9
793186,ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA,PE,250228.29,17
33057,NATULAB LABORATORIO LTDA,MA,248919.49,23
793261,FARMAX DISTRIBUIDORA S.A,CE,248097.29,76
790595,SC JOHNSON LTDA,CE,234197.01,48
792121,GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA,CE,229052.28,37
30083,LOLLY BABY PRODUTOS INFANTIS L,CE,218175.95,35
789112,MILI SA,CE,205435.71,36
30307,CCM IND E COM DE PROD DESCARTAVEIS S/A,MA,194194.46,19
47252,NEOQUIMICA,PI,180761.99,13
789228,SANDOZ DO BRASI  IND. FARMAC LTDA (SP),MA,180559.39,18
789423,KLEY HERTZ DISTRIBUIDORA LTDA,BA,172454.93,8
794468,CELLERA CONSUMO LTDA (ES),CE,164733.53,68
31267,MEDQUIMICA IND FARMACEUTICA S.,MA,156888.43,27
792141,TOTAL VITA - GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA,CE,155292.62,30
794365,BIOSINTETICA - ACHE - LABOFARMA PRODUTOS FARMACEUTICOS LTDA,CE,150434.49,65
795345,DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP,PI,141761.92,10
792121,GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA,PE,135654.61,8
789423,KLEY HERTZ DISTRIBUIDORA LTDA,PE,128520.0,6
31267,MEDQUIMICA IND FARMACEUTICA S.,PE,122148.29,11
32816,DKT DO BRASIL PROD.DE USO PESS (PRUDENCE),CE,119626.0,34
794319,PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA,PI,118705.21,10
33928,GEOLAB IND FARMACEUTICA S/A,MA,116826.3,24
790080,BIOLAB FARMA GENERICOS LTDA,BA,111248.91,13
796369,MYRALIS INDUSTRIA FARMACEUTICA LTDA,CE,107102.76,62
792019,TORRENT DO BRASIL LTDA,BA,107049.51,6
790283,PHARLAB INDUSTRIA FARMACEUTICA S.A,CE,97342.17,50
794319,PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA,MA,95919.06,12
793247,NATIVITA INDUSTRIA E COMERCIO LTDA,PI,95216.19,9
796144,BRACELL PAPEIS NORDESTE LTDA,MA,95033.58,8
794319,PLENTY - EUROFRAL PRODUTOS DE HIGIENE LTDA,BA,92773.44,4
31267,MEDQUIMICA IND FARMACEUTICA S.,PI,84137.42,15
794671,PRINCIPIA ES COMERCIO DE COSMETICOS LTDA,CE,79991.18,39
794468,CELLERA CONSUMO LTDA (ES),PI,77650.25,7
32816,DKT DO BRASIL PROD.DE USO PESS (PRUDENCE),MA,76119.0,16
789228,SANDOZ DO BRASI  IND. FARMAC LTDA (SP),PI,73305.99,8
794671,PRINCIPIA ES COMERCIO DE COSMETICOS LTDA,PE,70267.8,9
33928,GEOLAB IND FARMACEUTICA S/A,PI,69618.09,12
790080,BIOLAB FARMA GENERICOS LTDA,MA,67863.86,12
790080,BIOLAB FARMA GENERICOS LTDA,CE,64693.98,34
33928,GEOLAB IND FARMACEUTICA S/A,PE,62860.16,5
30083,LOLLY BABY PRODUTOS INFANTIS L,PE,59777.52,2
789423,KLEY HERTZ DISTRIBUIDORA LTDA,PI,58878.67,7
47252,NEOQUIMICA,PE,55122.01,4
793186,ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA,PI,53138.57,12
794468,CELLERA CONSUMO LTDA (ES),MA,52018.6,19
793186,ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA,BA,51092.89,7
32816,DKT DO BRASIL PROD.DE USO PESS (PRUDENCE),PE,47640.0,2
790283,PHARLAB INDUSTRIA FARMACEUTICA S.A,PI,46900.76,10
796144,BRACELL PAPEIS NORDESTE LTDA,PI,43050.68,4
30083,LOLLY BABY PRODUTOS INFANTIS L,MA,39455.78,14
793261,FARMAX DISTRIBUIDORA S.A,MA,38122.73,13
794365,BIOSINTETICA - ACHE - LABOFARMA PRODUTOS FARMACEUTICOS LTDA,MA,31585.93,13
792121,GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA,PI,30767.78,6
792141,TOTAL VITA - GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA,MA,30721.1,6
790283,PHARLAB INDUSTRIA FARMACEUTICA S.A,MA,30497.09,15
33057,NATULAB LABORATORIO LTDA,PE,29864.35,2
793261,FARMAX DISTRIBUIDORA S.A,PE,27648.74,5
794671,PRINCIPIA ES COMERCIO DE COSMETICOS LTDA,PI,27051.91,5
796369,MYRALIS INDUSTRIA FARMACEUTICA LTDA,MA,25027.52,11
794671,PRINCIPIA ES COMERCIO DE COSMETICOS LTDA,MA,24232.08,10
30307,CCM IND E COM DE PROD DESCARTAVEIS S/A,TO,20280.0,1
796369,MYRALIS INDUSTRIA FARMACEUTICA LTDA,BA,20213.58,7
32816,DKT DO BRASIL PROD.DE USO PESS (PRUDENCE),BA,19926.06,7
30083,LOLLY BABY PRODUTOS INFANTIS L,BA,19375.43,7
792121,GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA,BA,19155.13,6
793261,FARMAX DISTRIBUIDORA S.A,BA,17164.54,8
795345,DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP,BA,17011.8,3
794445,SANOFI MEDLEY FARMACEUTICA LTDA,PE,16810.68,3
795345,DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP,MA,16371.2,5
793186,ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA,MA,15675.18,6
790283,PHARLAB INDUSTRIA FARMACEUTICA S.A,BA,15449.92,7
33057,NATULAB LABORATORIO LTDA,PI,14048.59,2
32816,DKT DO BRASIL PROD.DE USO PESS (PRUDENCE),PI,13161.0,3
