CODFILIAL;NUMPED;CNPJ_FORNECEDOR;FORNECEDOR;COD_CLIENTE;CNPJ_CLIENTE;CLIENTE;ESTADO;TOTAL_FATURADO;VALOR_DEVOLVIDO
1;1064024233;33286;MULTILAB IND E COM DE PROD FARMAC LTDA (MARCAS);80318;80318,0;DROGARIA DO ARCO LTDA;CE;406,77;
5;609038651;33928;GEOLAB IND FARMACEUTICA S/A;95748;95748,0;DROGARIA COSTA LTDA;MA;4462,72;
3;1869004052;794319;EUROFRAL PRODUTOS DE HIGIENE LTDA;104300;80744,0;LIMA NORONHA COMERCIAL LTDA;CE;783,84;
1;5800008288;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;99632;99632,0;HIPER FARMA COMERCIO DE PRODUTOS FARMACEUTICOS LIMITADA;CE;1114,46;
3;951007408;794319;EUROFRAL PRODUTOS DE HIGIENE LTDA;132860;93209,0;ESSENCIAL FARMA ACOPIARA LTDA;CE;6788,94;
1;42119505;31267;MEDQUIMICA IND FARMACEUTICA S.;90828;80794,0;VAREJAO DOS COMPRIMIDOS FILIAL;CE;29455,21;
3;1869004035;139553;CCM IND E COM DE PROD DESCART S/A - DINNO/PLENTY;87371;80744,0;LIMA NORONHA COMERCIAL LTDA EP;CE;2351,52;
9;2145015230;34754;CAZI QUIMICA FARMACEUTICA IND E COM LTDA;124089;124089,0;DROGARIA MARTINS LTDA;PE;217,47;
2;358059743;33928;GEOLAB IND FARMACEUTICA S/A;93363;93363,0;THARLES MEGAFARMA LTDA;PI;342,11;
2;535049769;33928;GEOLAB IND FARMACEUTICA S/A;63738;63738,0;MIRANDA E MIRANDA XAVIER LTDA;PI;160,46;
3;890013749;794319;EUROFRAL PRODUTOS DE HIGIENE LTDA;81263;81263,0;R REGINALDO JANJA E COMP.LTDA;CE;2166,32;
9;2557000363;789423;KLEY HERTZ DISTRIBUIDORA LTDA;100701;100701,0;CLAUDECY LOPES DE ARAUJO ME;PE;322,7;
5;353048939;47252;HYPERA S.A;127705;127705,0;P O DE SA AMORIM LTDA;MA;1457,44;
1;610085845;793261;FARMAX DISTRIBUIDORA S.A;92077;92077,0;FARMACIA MENORPRECO LTDA ME;CE;842,52;
1;477053298;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;84079;84079,0;J.S NEGREIROS DE QUEIROZ;CE;1890,98;
3;1298033170;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;97501;85007,0;DROGARIA ULTRAPOPULAR PARAIPABA LTDA EPP;CE;1265,85;
1;657044112;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;135882;135882,0;FARMACIA E PERFUMARIA ESTAR BEM LTDA;CE;695,64;
9;2554000253;789423;KLEY HERTZ DISTRIBUIDORA LTDA;101446;101446,0;FARMACIA SANTA ANA LTDA;PE;4749,58;
1;2279004765;47252;HYPERA S.A;88137;88137,0;DROGARIA ABAIARA LTDA;CE;500,81;
1;42119518;793261;FARMAX DISTRIBUIDORA S.A;90418;86705,0;FARMACIA DA ECONOMIA CEARENSE LTDA FILIAL 5;CE;2764,11;
1;1993010662;792019;TORRENT DO BRASIL LTDA;104260;104260,0;RODSON JAILSON LIRA SARAIVA ME;CE;40,29;
1;42119660;47252;HYPERA S.A;93827;86705,0;FARMACIA DA ECONOMIA NACIONAL LTDA FILIAL 14;CE;6542,92;
3;890013825;139553;CCM IND E COM DE PROD DESCART S/A - DINNO/PLENTY;83485;83485,0;FARMACIA N.S.C LTDA;CE;2168,24;
